Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"3,170 EUR (79,999 CZK)",Ford,Fiesta,1.4,"239,523 km",2010,Diesel,Hatchback,White,Brno,50 kW (68 HP),Manual,http://auto.rychle.cz/osobni-auto-O/Ford/Fiesta/Fiesta-1.4-Bez-kor-Hatchback-1704374746952284.html,
"11,491 EUR (289,999 CZK)",Škoda,Octavia,2.0 rs tdi,"229,207 km",2013,Diesel,Sedan,Blue,Praha,135 kW (184 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Skoda/Octavia/Octavia-RS-2.0-TDI-Sedan-Limuzina-1708356681390821.html,
"7,132 EUR (180,000 CZK)",Lancia,Thema,3.0,"272,772 km",2013,Diesel,Sedan,Black,Praha,176 kW (239 HP),Automatic,https://www.cars.cz/inzerce/osobni-auto-O/Lancia/Thema/Thema-3-0-CRD-Au-Sedan-Limuzina-17098186705087544.html,
"25,717 EUR (649,000 CZK)",Volvo,Xc40,2.0 D3,"103,071 km",2019,Diesel,Crossover,Blue,Liberec,110 kW (150 HP),Automatic,https://www.automodul.cz/volvo-xc40-d3-inscription-kuze-nez-topeni-c2638852,
"1,386 EUR (35,000 CZK)",Volkswagen,Polo,1.4 TDI,"231,823 km",2007,Diesel,Hatchback,Silver,Mikulov,51 kW (69 HP),Manual,https://www.cars.cz/inzerce/osobni-auto-O/Volkswagen/Polo/Polo-1-4-TDI-SE-Hatchback-1706022859074378.html,
"14,657 EUR (369,900 CZK)",Ford,Kuga,2.0 TDCi,"132,400 km",2015,Diesel,Suv,Black,Zlín,110 kW (150 HP),Manual,https://yauto.cz/ford/kuga/20-tdci4x4digi-klimanaviserviska-titanium-suv-nafta-835761/,
"15,454 EUR (389,999 CZK)",Volkswagen,Tiguan,2.0 TDI 4Motion,"140,777 km",2015,Diesel,Crossover,White,Olbramovice,103 kW (140 HP),Manual,https://autocaris.cz/detail.php?inzerat=736620,
"14,264 EUR (359,990 CZK)",Ford,Kuga,2.0 TDCi,"125,000 km",2015,Diesel,Suv,Black,Rajhrad,132 kW (180 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Ford/Kuga/Kuga-2.0D-103KW-SUV-1694178776306324.html,
"8,317 EUR (209,900 CZK)",Mini,Clubman,1.6,"158,364 km",2012,Diesel,Mpv,Silver,Rudná,82 kW (112 HP),Manual,https://www.sauto.cz/osobni/detail/mini/clubman/203527989,
"16,999 EUR (429,000 CZK)",Subaru,Outback,2.0 D,"177,705 km",2016,Diesel,Crossover,Gold,Opava,110 kW (150 HP),Automatic,https://www.sauto.cz/osobni/detail/subaru/outback/203287779,
"7,093 EUR (179,000 CZK)",Volvo,V70,2.4,"332,789 km",2007,Diesel,Wagon,Black,Kroměříž,136 kW (185 HP),Manual,https://www.annonce.cz/inzerat/volvo-v70-2-4-d5-xen-sibr-tz-navi-servi-71448769-wcake6.html,
"4,751 EUR (119,900 CZK)",Volvo,V50,2.5 T5,"256,097 km",2004,Petrol,Wagon,Black,Rudná,162 kW (220 HP),Automatic,https://yauto.cz/volvo/v50/25-automat-kombi-benzin-850075/,
"27,698 EUR (699,000 CZK)",Volvo,V60,2.0 D4,"83,998 km",2020,Diesel,Wagon,Gray,Brno,140 kW (190 HP),Automatic,https://www.sauto.cz/osobni/detail/volvo/v60/204029451,
"27,734 EUR (699,900 CZK)",Bmw,X5,30d,"163,705 km",2016,Diesel,Suv,Silver,Praha,190 kW (258 HP),Automatic,https://www.automodul.cz/bmw-x5-30d-xdrive-m-paket-m-adaptive-c2688786,
"46,748 EUR (1,179,750 CZK)",Volkswagen,Amarok,3.0 TDI,"83,213 km",2020,Diesel,Pickup,Yellow,Olomouc,190 kW (258 HP),Automatic,https://www.automodul.cz/volkswagen-amarok-3-0-tdi-190kw-aventura-zaruka-c2623512,
"39,586 EUR (999,000 CZK)",Bmw,X5m,,"149,400 km",2016,Petrol,Suv,Gray,Ostrava,423 kW (575 HP),Automatic,https://autocaris.cz/detail.php?inzerat=742335,
"27,302 EUR (689,000 CZK)",Mercedes Benz,Cls-Class,63 AMG,"158,335 km",2010,Petrol,Sedan,Red,Praha,386 kW (525 HP),Automatic,https://www.sauto.cz/osobni/detail/mercedes-benz/cls/167998181,
"45,530 EUR (1,149,000 CZK)",Audi,Q5,2.0 40 TDI,"33,229 km",2020,Diesel,Suv,Gray,Praha,140 kW (190 HP),Automatic,https://www.automodul.cz/audi-q5-40tdi-s-line-pano-4x4-led-c2585853,
"75,210 EUR (1,898,000 CZK)",Bmw,X5,xDrive40d,"21,950 km",2023,Diesel,Suv,Black,Praha,250 kW (340 HP),,https://www.sauto.cz/osobni/detail/bmw/x5/199674070,
"22,143 EUR (558,800 CZK)",Subaru,Levorg,1.6,"93,038 km",2018,Petrol,Wagon,Blue,Opava,125 kW (170 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Subaru/Levorg/Levorg-1.6GT-S-Spo-Kombi-1709291109092141.html,
"6,336 EUR (159,900 CZK)",Renault,Fluence,1.5 dCi,"72,000 km",2013,Diesel,Sedan,Blue,Slaný,81 kW (110 HP),Manual,https://autocaris.cz/detail.php?inzerat=740482,
"20,011 EUR (505,000 CZK)",Fiat,Tipo,1.1,"27,000 km",2022,Petrol,Hatchback,Blue,Ostrava,74 kW (101 HP),Manual,https://www.automodul.cz/fiat-tipo-1-0-cross-firefly-carplay-le-c2706007,
"27,734 EUR (699,900 CZK)",Volkswagen,Golf,2.0 GTI,"38,160 km",2021,Petrol,Hatchback,White,Praha,180 kW (245 HP),Automatic,https://www.sauto.cz/osobni/detail/volkswagen/golf/205323744,
"28,887 EUR (728,999 CZK)",Volkswagen,Tiguan Allspace,2.0 TDI,"121,633 km",2020,Diesel,Crossover,Orange,Olbramovice,140 kW (190 HP),Automatic,https://www.sauto.cz/osobni/detail/volkswagen/tiguan-allspace/205377690,
"9,827 EUR (248,000 CZK)",Jeep,Grand Cherokee,3.0 crd,"236,600 km",2011,Diesel,Suv,Gray,Karlovy Vary,177 kW (241 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Jeep/Grand_Cherokee/Grand-Cherokee-3.0-CRD-177-SUV-1707235768521284.html,
"14,463 EUR (365,000 CZK)",Mercedes Benz,Cls-Class,350 CDI,"212,101 km",2014,Diesel,Sedan,Blue,Žďár Nad Sázavou,195 kW (265 HP),,https://autocaris.cz/detail.php?inzerat=727276,
"16,999 EUR (429,000 CZK)",Audi,Q5,2.0 TDI,"235,905 km",2015,Diesel,Suv,White,Olomouc,140 kW (190 HP),Automatic,https://www.annonce.cz/inzerat/audi-q5-2-0-tdi-140kw-72413953-wkfcz4.html,
"49,532 EUR (1,249,990 CZK)",Bmw,7 Series,740d xDrive,"59,709 km",2018,Diesel,Sedan,Black,Praha,235 kW (320 HP),Automatic,https://www.autanet.cz/detail/bmw/rada-7/46515,
