Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"4,450 EUR",Peugeot,207,1.4 VTi,"129,920 km",2010,Petrol,Wagon,Gray,Haarlem,72 kW (98 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/peugeot/207-sw-14-vti-style-airco-129000km-nwe-apk/18818941,5
"16,925 EUR",Seat,Ibiza,1.0 fr tsi,"113,768 km",2019,LPG,Hatchback,Black,Moordrecht,86 kW (117 HP),Automatic,https://www.viabovag.nl/auto/aanbod/seat-ibiza-10-tsi-fr-business-intense-5-deurs-climate-control-navigatie-18-inch-lichtmetalen-velgen-v2xf65r,6
"26,950 EUR",Bmw,3 Series,330i,"149,787 km",2018,Petrol,Wagon,Black,Vlaardingen,187 kW (254 HP),Automatic,https://www.marktplaats.nl/v/auto-s/bmw/m2082501115-bmw-3-serie-touring-330i-high-executive-trekhaak-leder-pano,6
"5,500 EUR",Renault,Twingo,1.2,"139,690 km",2011,Petrol,Mini,White,Veenendaal,55 kW (75 HP),Manual,https://www.autotrader.nl/auto/voertuig/renault-twingo-12-16v-dynamique-airco-panoramadak-cruise-16-benzine/a2035704-5926-4b70-aeae-ce61f4f2fb82/,
"14,900 EUR",Audi,A1,1.0 s tfsi,"96,475 km",2016,Petrol,Mini,Black,Veenendaal,70 kW (95 HP),Manual,https://www.nederlandmobiel.nl/tweedehands-auto/audi/a1-sportback-10-tfsi-sport-pro-line-s-clima-nav-pdc-stoelverw/18618291,
"18,400 EUR",Audi,A1,1.0 TFSI,"45,059 km",2016,Petrol,Mini,White,Valkenswaard,70 kW (95 HP),Automatic,https://www.viabovag.nl/auto/aanbod/audi-a1-sportback-10-tfsi-design-pro-line-plus-95-pk-automaat-panoramadak-stoelverwarming-climate-control-lichtmetalen-velgen-2ye4ap7,
"31,900 EUR",Bmw,X1,2.0 sdrive20i,"43,000 km",2018,Petrol,Suv,Brown,Heerenveen,143 kW (194 HP),Automatic,https://www.eurostocks.com/nl/voertuigen/autos/suv-off-road-pick-up/vehicle/2563629/bmw-x1-sdrive20i-high-executive-led-leder-hud-schuifdak-chrome-line-sportstoelen-keyles-go-alu-19-inch,
"10,900 EUR",Citroen,C4 Picasso,1.2,"187,580 km",2016,Petrol,Mpv,Gray,Loenen,97 kW (132 HP),Manual,https://www.autotrader.nl/auto/voertuig/citroen-c4-picasso-7pers-12-pt-131pk-business-ecc-cruise-navi-trekha-benzine/bce1b8c4-21bf-43a7-b60c-475c32912a92/,
"13,950 EUR",Bmw,X3,xDrive20d,"208,784 km",2013,Diesel,Suv,Silver,Langedijk,137 kW (186 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/bmw/x3-xdrive20d-high-executive-leder-nav-pano-head-up-trekh/18778538,
"18,900 EUR",Volkswagen,E-Golf,,"50,893 km",2019,Electric,Hatchback,Blue,Tilburg,101 kW (137 HP),Automatic,https://www.marktplaats.nl/v/auto-s/volkswagen/m2083018598-volkswagen-e-golf-e-golf-lederen-bekleding-navigatie-a,
"18,700 EUR",Volkswagen,E-Golf,,"41,862 km",2019,Electric,Hatchback,Silver,Utrecht,101 kW (137 HP),Automatic,https://www.autotrader.nl/auto/voertuig/volkswagen-e-golf-e-golf-navigatie-camera-virtual-cockpit-le-elektrisch/428dd5a4-75b9-40fa-9206-a1f7707fcdb7/,
"13,845 EUR",Nissan,Qashqai,1.2,"123,981 km",2014,Petrol,Crossover,Brown,Sittard,86 kW (117 HP),Automatic,https://www.limburgmobiel.nl/tweedehands-auto/nissan/qashqai-12-edition/18632924,
"19,499 EUR",Opel,Grandland X,1.2,"141,018 km",2020,Petrol,Suv,Black,Stadskanaal,97 kW (132 HP),Automatic,https://www.autoscout24.nl/aanbod/opel-grandland-x-1-2-turbo-business-edition-apple-carplay-benzine-zwart-462fa5f3-964a-47b0-884e-940062239972,
"8,750 EUR",Citroen,Ds3,1.6 THP,"144,715 km",2014,Petrol,Hatchback,Black,Kampen,115 kW (156 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/citroen/ds3-16-thp-sport-chic-155-pk-en-rijklaar/18780889,
"6,745 EUR",Peugeot,3008,1.6 VTi,"63,511 km",2012,Petrol,Crossover,Gray,Nuenen,89 kW (121 HP),Manual,https://www.eurostocks.com/nl/voertuigen/autos/mpv-van-minibus/vehicle/2402616/peugeot-3008-16-vti-120pk-blue-lease-airco-trekhaak-parkeersensoren-cruise-control,
